Wavelength,R_0,R_1,R_2
1062.5,43800.834,38741.268,33517.78
1067.3,14940.184,13031.45,11117.166
1072.11,12933.74,11061.696,9402.134
1076.92,9847.286,8343.49,7142.93
1081.72,9028.368,7677.262,6563.854
1086.52,9653.86,8195.634,7043.282
1091.32,10316.042,8895.054,7708.814
1096.12,10805.756,9384.664,8267.166
1100.92,12332.57,10875.298,9605.946
1105.72,13077.496,11875.72,10729.274
1110.51,14562.91,13342.254,12090.938
1115.3,14354.656,13349.736,12162.412
1120.1,14704.486,13670.618,12542.174
1124.89,15922.886,15046.628,13887.076
1129.68,16976.912,16347.932,15260.922
1134.47,17099.862,16332.234,15251.69
1139.25,17905.716,17138.436,15895.33
1144.04,18243.502,17559.986,16556.062
1148.82,19237.254,18573.076,17785.82
1153.61,19483.78,18712.528,17828.69
1158.39,20009.666,19485.272,18704.042
1163.17,19757.552,19541.782,19197.334
1167.95,20948.032,20847.132,20450.676
1172.72,22226.336,22428.318,22311.342
1177.5,23116.294,23419.638,23292.594
1182.27,23649.856,23987.174,23803.742
1187.05,24411.078,25146.964,25113.004
1191.82,26091.434,27157.132,27388.314
1196.59,26840.314,28298.08,28804.95
1201.36,25634.07,27153.01,27914.058
1206.12,24729.052,26191.946,26790.268
1210.89,24663.69,26477.844,27569.528
1215.65,25781.994,27805.538,29080.8
1220.42,25668.004,27804.702,29122.534
1225.18,25547.858,27772.638,29562.068
1229.94,25815.172,28180.41,29665.208
1234.7,25011.752,27056.684,28380.166
1239.46,26084.538,28853.606,30772.984
1244.21,26297.312,28723.4,30363.856
1248.97,26186.184,28974.754,31281.85
1253.72,28153.776,31114.338,33461.444
1258.47,27831.878,30631.898,33118.16
1263.22,28443.812,31426.226,34313.226
1267.97,27698.686,30558.534,33455.502
1272.72,28108.986,30931.512,33737.228
1277.47,28392.302,31218.418,33904.518
1282.21,28568.564,31500.14,34546.968
1286.96,27079.746,29847.306,32946.638
1291.7,27071.278,29643.554,32266.816
1296.44,25619.542,28355.402,31459.936
1301.18,25716.756,28522.798,31541.57
1305.92,25554.044,28218.206,31147.188
1310.65,23576.266,25938.84,28934.596
1315.39,22292.57,24710.312,27657.114
1320.12,20654.534,22694.076,25144.076
1324.85,21901.242,24284.526,27164.084
1329.58,19667.422,21612.742,24002.948
1334.31,19976.498,22240.104,25023.588
1339.04,19374.792,21522.658,24075.264
1343.77,19234.396,21324.856,23837.04
1348.49,15933.86,17632.854,19707.448
1353.22,15162.94,16875.404,18785.548
1357.94,12591.654,13981.822,15593.814
1362.66,12349.596,13788.492,15339.88
1367.38,12061.404,13338.67,14811.808
1372.1,10887.1,12076.598,13361.068
1376.82,8789.02,9815.056,10965.22
1381.53,8949.928,10003.61,11031.752
1386.24,9247.294,10333.066,11565.12
1390.96,8149.884,9087.048,10095.418
1395.67,7672.6,8571.508,9536.76
1400.38,8122.28,9026.864,10090.828
1405.09,7870.708,8823.008,9824.634
1409.79,8355.126,9303.77,10309.218
1414.5,7617.422,8541.998,9484.424
1419.2,7387.372,8322.68,9371.476
1423.9,7209.414,8100.088,9022.134
1428.61,6866.448,7656.998,8436.882
1433.3,6867.266,7793.58,8705.198
1438,6123.23,6867.838,7644.726
1442.7,6413.15,7200.884,8058.35
1447.39,6222.174,6962.238,7760.224
1452.09,6004.904,6784.896,7474.624
1456.78,5982.736,6697.276,7447.36
1461.47,5620.426,6297.534,6995.496
1466.16,5251.398,5857.242,6489.164
1470.85,4774.2,5307.352,5876.85
1475.54,4379.496,4901.71,5479.938
1480.22,4497.97,5013.082,5530.522
1484.91,4148.372,4621.95,5102.144
1489.59,3759.906,4200.394,4658.104
1494.27,3506.794,3884.56,4272.928
1498.95,3410.7,3744.052,4087.99
1503.63,2995.514,3280.828,3611.828
1508.3,3006.76,3297.29,3618.9
1512.98,2724.13,2982.536,3225.256
1517.65,2364.806,2599.302,2818.938
1522.32,2405.524,2636.508,2866.524
1526.99,2048.704,2220.412,2403.854
1531.66,1876.47,2035.384,2201.462
1536.33,1735.456,1879.038,2012.878
1541,1709.304,1837.718,1966.122
1545.66,1672.19,1803.978,1932.024
1550.33,1575.868,1704.75,1822.402
1554.99,1407.018,1521.308,1623.95
1559.65,1289.928,1401.582,1514.476
1564.31,1150.648,1243.13,1338.126
1568.97,1143.598,1233.338,1316.258
1573.62,1041.38,1124.972,1205.09
1578.28,978.732,1051.222,1121.408
1582.93,960.9,1036.564,1110.51
1587.58,922.022,1001.696,1074.178
1592.23,762.484,822.97,880.686
1596.88,708.934,766.736,817.472
1601.53,686.252,748.154,798.826
1606.18,579.664,629.086,672.936
1610.82,551.35,601.046,647.33
1615.46,496.98,540.54,584.468
1620.11,443.358,484.44,524.282
1624.75,382.776,415.328,449.792
1629.39,351.844,383.764,419.342
1634.02,293.32,318.922,351.098
1638.66,276.934,301.696,331.424
1643.29,262.496,286.036,313.32
1647.93,223.028,241.748,263.324
1652.56,200.432,214.56,235.884
1657.19,163.6,176.734,191.424
1661.82,165.438,178.182,191.194
1666.44,142.198,150.284,165.174
1671.07,117.41,124.714,135.934
1675.69,117.766,125.912,139.59
1680.32,89.504,93.956,102.5
1684.94,78.746,84.454,92.4
1689.56,66.246,69.348,76.162
1694.18,60.882,63.818,68.228
1698.79,50.696,52.914,56.52
1703.41,43.912,43.532,46.212
1708.02,40,38.774,42.498
1712.63,34.342,32.772,36.566
1717.24,27.22,26.292,27.622
1721.85,23.422,21.854,22.204
1726.46,21.356,21.452,21.956
1731.07,16.958,14.336,15.216
1735.67,15.526,14.53,14.002
1740.28,11.996,10.88,11.634
1744.88,3.618,1.264,1.072
1749.48,-0.088,-0.404,-1.934
1754.08,-0.776,-1.888,-1.444
1758.68,-2.386,-3.592,-4.172
1763.27,-4.044,-5.598,-5.944
1767.87,-10.136,-11.164,-11.956
1772.46,-13.06,-13.482,-13.012
1777.05,-14.912,-15.798,-15.584
1781.64,-18.528,-20.054,-19.042
1786.23,-19.37,-19.952,-21.048
1790.82,-22.886,-23.436,-25.488
1795.4,-23.274,-25.826,-26.612
1799.99,-26.552,-26.496,-27.782
1804.57,-25.512,-27.598,-29.302
1809.15,-29.088,-31.486,-32.304
1813.73,-30.638,-32.46,-33.936
1818.31,-30.632,-32.588,-34.256
1822.89,-32.798,-33.78,-35.736
1827.46,-33.324,-35.37,-38.378
1832.04,-36.962,-38.582,-39.982
1836.61,-34.208,-39.924,-41.96
1841.18,-34.204,-36.578,-38.69
1845.75,-36.592,-39.222,-40.224
1850.32,-37,-39.596,-41.072
1854.88,-38.794,-39.188,-41.134
1859.45,-38.278,-40.818,-42.18
1864.01,-40.422,-42.478,-43.966
1868.57,-40.292,-43.918,-45.066
1873.13,-41.574,-43.914,-47.734
1877.69,-41.9,-45.048,-46.302
1882.25,-42.276,-45.048,-45.808
1886.81,-44.094,-46.39,-49.792
1891.36,-41.538,-44.716,-48.066
1895.91,-44.766,-47.298,-49.33
1900.46,-45.928,-47.966,-50.248
1905.01,-44.18,-47.39,-50.518
1909.56,-43.652,-46.572,-49.732
1914.11,-44.618,-48.308,-50.076
1918.65,-42.99,-46.892,-49.588
1923.2,-44.386,-46.94,-49.958
1927.74,-44.106,-46.994,-48.604
1932.28,-43.03,-45.986,-48.218
1936.82,-43.736,-46.388,-47.476
1941.36,-43.854,-47.088,-49.468
1945.89,-44.042,-45.44,-48.542
1950.43,-43.414,-46.076,-48.798
1954.96,-42.648,-45.536,-48.574
1959.49,-44.582,-48.84,-48.964
1964.02,-43.036,-47.336,-48.732
1968.55,-43.598,-46.838,-48.654
1973.08,-43.084,-45.922,-48.202
1977.61,-43.996,-46.686,-50.052
1982.13,-40.92,-44.792,-48.482
1986.65,-42.418,-44.86,-48.314
1991.17,-39.738,-43.274,-47.466
1995.69,-39.872,-42.662,-46.36
2000.21,-38.302,-41.858,-44.454
2004.73,-37.836,-42.266,-45.386
2009.24,-35.478,-41.172,-44.732
2013.76,-33.034,-37.886,-42.484
2018.27,-29.022,-34.782,-39.498
2022.78,-24.976,-30.884,-36.406
2027.29,-19.854,-27.27,-33.034
2031.8,-13.49,-21.822,-28.28
2036.3,-0.65,-11.708,-19.684
2040.81,10.626,-2.778,-13.648
2045.31,24.514,8.632,-5.068
2049.81,37.524,22.064,7.588
2054.31,61.022,39.75,21.488
2058.81,85.84,60.8,42.078
2063.3,109.318,78.796,54.872
2067.8,141.298,106.758,75.636
2072.29,164.994,127.874,94.448
2076.79,202.114,160.492,124.628
2081.28,240.002,192.232,148.502
2085.77,299.618,241.084,187.288
2090.25,357.912,292.608,230.598
2094.74,433.81,359.948,284.012
2099.22,607.898,503.668,401.49
2103.71,830.222,693.476,564.616
2108.19,1178.092,977.94,784.436
2112.67,1582.742,1336.478,1093.714
2117.15,2783.14,2386.756,1993.33
2121.62,9581.78,8484.314,7210.56
2126.1,17235.19,15423.62,13407.4
2130.57,8233.454,7332.926,6474.338
2135.04,3198.242,2820.536,2435.442
2139.51,2533.106,2193.106,1849.396
2143.98,2663.384,2323.21,1975.676
2148.45,2691.222,2305.452,1928.094
2152.92,2104.452,1774.434,1508.87
2157.38,1675.144,1424.468,1225.038
2161.84,1594.946,1358.882,1153.988
2166.31,1463.676,1223.55,1023.132
2170.76,1439.096,1243.252,1070.838
2175.22,1521.122,1293.762,1089.17
2179.68,1464.678,1236.556,1053.088
2184.13,1504.76,1289.808,1107.03
2188.59,1512.8,1315.872,1128.108
2193.04,1504.708,1305.534,1136.768
2197.49,1474.724,1286.338,1123.658
2201.94,1466.61,1291.078,1135.02
2206.39,1565.416,1369.396,1183.04
2210.83,1690.394,1526.194,1360.286
2215.28,1687.426,1542.972,1379.988
2219.72,1703.838,1573.032,1429.398
2224.16,1866.066,1727.25,1566.014
2228.6,1909.732,1764.022,1604.578
2233.04,1691.668,1559.408,1394.974
2237.48,1710.514,1604.85,1462.924
2241.91,43251.326,38388.468,33033.554